OctagonalLocation: {id:0, env:{biome:start_village, name:The Village on the Plains, descrip:}, coord:(0, 0)}
OctagonalLocation: {id:84, env:{biome:lake, name:A Lake, descrip:}, coord:(6, -3)}

OctagonalLocation: {id:85, env:{biome:lake, name:A Lake, descrip:}, coord:(6, 0)}

OctagonalLocation: {id:86, env:{biome:lake, name:A Lake, descrip:}, coord:(1, -4)}

OctagonalLocation: {id:87, env:{biome:lake, name:A Lake, descrip:}, coord:(4, 2)}

OctagonalLocation: {id:88, env:{biome:lake, name:A Lake, descrip:}, coord:(0, -3)}

OctagonalLocation: {id:89, env:{biome:lake, name:A Lake, descrip:}, coord:(5, -3)}

OctagonalLocation: {id:90, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 3)}

OctagonalLocation: {id:91, env:{biome:lake, name:A Lake, descrip:}, coord:(4, -4)}

OctagonalLocation: {id:92, env:{biome:lake, name:A Lake, descrip:}, coord:(3, 1)}

OctagonalLocation: {id:93, env:{biome:lake, name:A Lake, descrip:}, coord:(6, -2)}

OctagonalLocation: {id:94, env:{biome:lake, name:A Lake, descrip:}, coord:(6, -1)}

OctagonalLocation: {id:95, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -6)}

OctagonalLocation: {id:96, env:{biome:lake, name:A Lake, descrip:}, coord:(2, 4)}

OctagonalLocation: {id:97, env:{biome:lake, name:A Lake, descrip:}, coord:(7, -2)}

OctagonalLocation: {id:98, env:{biome:lake, name:A Lake, descrip:}, coord:(5, -5)}

OctagonalLocation: {id:99, env:{biome:lake, name:A Lake, descrip:}, coord:(6, -5)}

OctagonalLocation: {id:100, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 1)}

OctagonalLocation: {id:101, env:{biome:lake, name:A Lake, descrip:}, coord:(4, -1)}

OctagonalLocation: {id:102, env:{biome:lake, name:A Lake, descrip:}, coord:(4, -2)}

OctagonalLocation: {id:103, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -3)}

OctagonalLocation: {id:104, env:{biome:lake, name:A Lake, descrip:}, coord:(3, 3)}

OctagonalLocation: {id:105, env:{biome:lake, name:A Lake, descrip:}, coord:(1, -6)}

OctagonalLocation: {id:106, env:{biome:lake, name:A Lake, descrip:}, coord:(6, -4)}

OctagonalLocation: {id:107, env:{biome:lake, name:A Lake, descrip:}, coord:(4, 4)}

OctagonalLocation: {id:108, env:{biome:lake, name:A Lake, descrip:}, coord:(4, -5)}

OctagonalLocation: {id:109, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -4)}

OctagonalLocation: {id:110, env:{biome:lake, name:A Lake, descrip:}, coord:(1, -3)}

OctagonalLocation: {id:111, env:{biome:lake, name:A Lake, descrip:}, coord:(7, -3)}

OctagonalLocation: {id:112, env:{biome:lake, name:A Lake, descrip:}, coord:(4, 1)}

OctagonalLocation: {id:113, env:{biome:lake, name:A Lake, descrip:}, coord:(0, -4)}

OctagonalLocation: {id:114, env:{biome:lake, name:A Lake, descrip:}, coord:(5, -1)}

OctagonalLocation: {id:115, env:{biome:lake, name:A Lake, descrip:}, coord:(5, -2)}

OctagonalLocation: {id:116, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 4)}

OctagonalLocation: {id:117, env:{biome:lake, name:A Lake, descrip:}, coord:(7, 1)}

OctagonalLocation: {id:118, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -1)}

OctagonalLocation: {id:119, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -2)}

OctagonalLocation: {id:120, env:{biome:lake, name:A Lake, descrip:}, coord:(2, -5)}

OctagonalLocation: {id:121, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -5)}

OctagonalLocation: {id:122, env:{biome:lake, name:A Lake, descrip:}, coord:(6, 1)}

OctagonalLocation: {id:123, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -1)}

OctagonalLocation: {id:124, env:{biome:lake, name:A Lake, descrip:}, coord:(3, -2)}

OctagonalLocation: {id:125, env:{biome:lake, name:A Lake, descrip:}, coord:(-1, -4)}

OctagonalLocation: {id:126, env:{biome:lake, name:A Lake, descrip:}, coord:(4, 3)}

OctagonalLocation: {id:127, env:{biome:lake, name:A Lake, descrip:}, coord:(0, -2)}

OctagonalLocation: {id:128, env:{biome:lake, name:A Lake, descrip:}, coord:(5, -4)}

OctagonalLocation: {id:129, env:{biome:lake, name:A Lake, descrip:}, coord:(5, 2)}

